call_sign,frequency_khz,hours,status,city,state,country,facility_id,power_kw,directional,latitude,longitude,licensee
KURV,710,Nighttime,Licensed,EDINBURG,TX,US,70463,0.91,True,26.328694,-98.160278,LEADING MEDIA GROUP CORP.
KIRO,710,Nighttime,Licensed,EATTLE,WA,US,6362,50.0,True,47.398444,-122.434583,BONNEVILLE INTERNATIONAL CORPORATION
WDSM,710,Nighttime,Licensed,UPERIOR,WI,US,71356,5.0,True,46.653556,-92.147417,"MIDWEST COMMUNICATIONS, INC."
CHYR,710,Nighttime,CP,EAMINGTON,ON,CA,98815,0.7,True,42.00975,-82.562389,-
CHYR,710,Nighttime,CP,EAMINGTON,ON,CA,98815,1.0,True,42.00975,-82.562389,-
CJRN,710,Nighttime,CP,IAGARA FALLS,ON,CA,98816,3.5,True,42.897833,-78.95725,-
CIPC,710,Nighttime,CP,ORT CARTIER,QC,CA,98817,1.0,True,49.988889,-66.949222,-
CKVM,710,Nighttime,CP,ILLE MARIE,QC,CA,98818,1.0,True,47.306389,-79.452639,-
KOTZ,720,Unlimited,Licensed,KOTZEBUE,AK,US,35440,10.0,False,66.838778,-162.570861,"KOTZEBUE BROADCASTING, INC."
WGN,720,Unlimited,Licensed,CHICAGO,IL,US,72114,50.0,False,42.011694,-88.035361,TRIBUNE MEDIA COMPANY
WRZN,720,Daytime,Licensed,HERNANDO,FL,US,39769,10.0,False,28.92275,-82.372306,"MARC RADIO GAINESVILLE, LLC"
WGST,720,Daytime,Licensed,HOGANSVILLE,GA,US,39620,7.97,False,33.065111,-84.956333,"IHM LICENSES, LLC"
WGN,720,Daytime,CP,CHICAGO,IL,US,72114,50.0,False,42.010583,-88.033417,TRIBUNE MEDIA COMPANY
WJIB,720,Daytime,Application,CAMBRIDGE,MA,US,6146,5.0,False,42.406667,-71.0875,"RCRQ, INC."
WGCR,720,Daytime,Licensed,PISGAH FOREST,NC,US,2198,50.0,False,35.252889,-82.674278,ANCHOR BAPTIST BROADCASTING ASSOCIATION
KFIR,720,Daytime,Licensed,WEET HOME,OR,US,23024,10.0,False,44.595111,-123.127306,"RADIO FIESTA NETWORK, LLC"
WHYF,720,Daytime,Licensed,SHIREMANSTOWN,PA,US,26973,2.2,False,40.249528,-76.867194,"HOLY FAMILY RADIO, INC."
KSAH,720,Daytime,Licensed,UNIVERSAL CITY,TX,US,23072,10.0,True,29.531056,-98.177778,ALPHA MEDIA LICENSEE LLC
NEW,720,Daytime,CP,MEDICINE HAT,AB,CA,98822,10.0,True,49.916722,-110.717444,-
831108,720,Daytime,CP,RINCE RUPERT,BC,CA,98824,10.0,False,54.316417,-130.168389,-
CHTN,720,Daytime,CP,HARLOTTETOWN,PE,CA,98825,10.0,False,46.189528,-63.1635,-
WRZN,720,Nighttime,Licensed,HERNANDO,FL,US,39769,0.25,True,28.92275,-82.372306,"MARC RADIO GAINESVILLE, LLC"
WGN,720,Nighttime,CP,CHICAGO,IL,US,72114,50.0,False,42.010583,-88.033417,TRIBUNE MEDIA COMPANY
WJIB,720,Nighttime,Licensed,CAMBRIDGE,MA,US,6146,0.189,True,42.406778,-71.086722,"RCRQ, INC."
WJIB,720,Nighttime,Application,CAMBRIDGE,MA,US,6146,3.0,True,42.406778,-71.086722,"RCRQ, INC."
KFIR,720,Nighttime,Licensed,WEET HOME,OR,US,23024,0.146,False,44.595111,-123.127306,"RADIO FIESTA NETWORK, LLC"
KSAH,720,Nighttime,Licensed,UNIVERSAL CITY,TX,US,23072,0.89,True,29.531056,-98.177778,ALPHA MEDIA LICENSEE LLC
NEW,720,Nighttime,CP,MEDICINE HAT,AB,CA,98822,5.0,True,49.916722,-110.717444,-
NEW,720,Nighttime,CP,ELOWNA,BC,CA,98823,10.0,True,49.84775,-119.466194,-
831108,720,Nighttime,CP,RINCE RUPERT,BC,CA,98824,5.0,True,54.316417,-130.168389,-
CHTN,720,Nighttime,CP,HARLOTTETOWN,PE,CA,98825,7.5,True,46.189528,-63.1635,-
WGCR,720,Unknown,Licensed,PISGAH FOREST,NC,US,2198,15.0,False,35.252889,-82.674278,ANCHOR BAPTIST BROADCASTING ASSOCIATION
CKAC,730,Unlimited,CP,ONTREAL,QC,CA,98831,50.0,True,45.513917,-73.973528,-
WUMP,730,Daytime,Licensed,ADISON,AL,US,39590,1.0,False,34.696194,-86.738611,CUMULUS LICENSING LLC
KQPN,730,Daytime,Licensed,WEST MEMPHIS,AR,US,48749,1.0,True,35.246194,-90.147028,"KQPN, INC."
KTBA,730,Daytime,CP,TUBA CITY,AZ,US,71794,1.0,False,36.131667,-111.250417,ACROSS NATIONS
WWTK,730,Daytime,Licensed,AKE PLACID,FL,US,27194,0.5,True,27.40725,-81.432028,"COHAN RADIO GROUP, INC."
WSTT,730,Daytime,Licensed,HOMASVILLE,GA,US,39735,5.0,False,30.71325,-84.138778,MARION R. WILLIAMS WILLIAMS
KLOE,730,Daytime,Licensed,GOODLAND,KS,US,18077,1.0,False,39.334444,-101.758222,"KANSAS BROADCAST COMPANY, LLC"
WFMW,730,Daytime,Licensed,MADISONVILLE,KY,US,60880,0.5,False,37.358667,-87.495833,"HAM BROADCASTING COMPANY, INC."
WACE,730,Daytime,Licensed,CHICOPEE,MA,US,9194,5.0,False,42.10925,-72.610639,HOLY FAMILY COMMUNICATIONS
WVFN,730,Daytime,Licensed,AST LANSING,MI,US,24638,0.5,True,42.645861,-84.560806,"TOWNSQUARE LICENSE, LLC"
KWOA,730,Daytime,Licensed,WORTHINGTON,MN,US,48971,1.0,False,43.629972,-95.678333,"ABSOLUTE COMMUNICATIONS II, L.L.C."
KWRE,730,Daytime,Licensed,WARRENTON,MO,US,33467,1.0,False,38.822278,-91.137639,KASPAR BROADCASTING CO. OF MISSOURI
KYYA,730,Daytime,Licensed,ILLINGS,MT,US,19216,5.0,False,45.758,-108.49875,"DESERT MOUNTAIN BROADCASTING LICENSES, LLC"
WZGV,730,Daytime,Licensed,CRAMERTON,NC,US,26179,10.0,False,35.266806,-80.901194,"2G MEDIA, INC."
WFMC,730,Daytime,Licensed,OLDSBORO,NC,US,70622,1.0,False,35.373778,-78.011111,"NEW AGE COMMUNICATIONS, INC"
WDOS,730,Daytime,Licensed,ONEONTA,NY,US,68738,1.0,False,42.457861,-75.004889,"TOWNSQUARE LICENSE, LLC"
WJYM,730,Daytime,Licensed,BOWLING GREEN,OH,US,31170,1.0,True,41.532556,-83.565222,"FAMILY WORSHIP CENTER CHURCH, INC."
WPIT,730,Daytime,Licensed,PITTSBURGH,PA,US,58624,5.0,False,40.482833,-79.991722,SALEM COMMUNICATIONS HOLDING CORPORATION
WAZL,730,Daytime,Licensed,ANTICOKE,PA,US,59757,1.0,False,41.219528,-75.99075,GEOS COMMUNICATIONS
WLTQ,730,Daytime,Licensed,CHARLESTON,SC,US,73874,1.1,False,32.773444,-80.015472,"MEDIATRIX SC, INC."
WLIL,730,Daytime,Licensed,ENOIR CITY,TN,US,73211,1.0,False,35.770083,-84.279639,FOWLERS HOLDINGS LLLP
KKDA,730,Daytime,Licensed,RAND PRAIRIE,TX,US,59703,0.5,False,32.764306,-96.990833,"SKR PARTNERS, LLC"
KSVN,730,Daytime,Licensed,GDEN,UT,US,57444,1.0,False,41.188,-112.081889,AZTECA BROADCASTING CORPORATION
WMNA,730,Daytime,Licensed,RETNA,VA,US,65518,1.0,True,36.925417,-79.330306,"3 DAUGHTERS MEDIA, INC."
WTNT,730,Daytime,Licensed,ALEXANDRIA,VA,US,70036,8.0,False,38.745389,-77.099139,"METRO RADIO, INC."
KULE,730,Daytime,Licensed,PHRATA,WA,US,4041,1.0,False,47.316806,-119.563917,CENTRO FAMILIAR CRISTIANO
WJMT,730,Daytime,Licensed,ERRILL,WI,US,57222,1.0,False,45.179139,-89.639,SUNRISE BROADCASTING LLC.
NEW,730,Daytime,CP,ERNON,BC,CA,98827,10.0,True,50.213778,-119.213667,-
CHMJ,730,Daytime,CP,ANCOUVER,BC,CA,98826,50.0,True,49.132333,-123.006306,-
CKDM,730,Daytime,CP,AUPHIN,MB,CA,98828,10.0,False,51.152222,-100.229861,-
CJNR,730,Daytime,CP,LIND RIVER,ON,CA,98829,1.0,False,46.176972,-82.984139,-
WUMP,730,Nighttime,Licensed,ADISON,AL,US,39590,0.129,False,34.696194,-86.738611,CUMULUS LICENSING LLC
KQPN,730,Nighttime,Licensed,WEST MEMPHIS,AR,US,48749,1.0,True,35.246194,-90.147028,"KQPN, INC."
KTBA,730,Nighttime,CP,TUBA CITY,AZ,US,71794,16.0,False,36.131667,-111.250417,ACROSS NATIONS
WWTK,730,Nighttime,Licensed,AKE PLACID,FL,US,27194,0.34,True,27.40725,-81.432028,"COHAN RADIO GROUP, INC."
WSTT,730,Nighttime,Licensed,HOMASVILLE,GA,US,39735,0.027,False,30.71325,-84.138778,MARION R. WILLIAMS WILLIAMS
KLOE,730,Nighttime,Licensed,GOODLAND,KS,US,18077,0.02,False,39.334444,-101.758222,"KANSAS BROADCAST COMPANY, LLC"
WFMW,730,Nighttime,Licensed,MADISONVILLE,KY,US,60880,0.215,False,37.358667,-87.495833,"HAM BROADCASTING COMPANY, INC."
WACE,730,Nighttime,Licensed,CHICOPEE,MA,US,9194,0.007,False,42.10925,-72.610639,HOLY FAMILY COMMUNICATIONS
WACE,730,Nighttime,Application,CHICOPEE,MA,US,9194,7.0,False,42.10925,-72.610639,HOLY FAMILY COMMUNICATIONS
WVFN,730,Nighttime,Licensed,AST LANSING,MI,US,24638,0.05,False,42.645861,-84.560528,"TOWNSQUARE LICENSE, LLC"
KWOA,730,Nighttime,Licensed,WORTHINGTON,MN,US,48971,0.159,False,43.629972,-95.678333,"ABSOLUTE COMMUNICATIONS II, L.L.C."
KWRE,730,Nighttime,Licensed,WARRENTON,MO,US,33467,0.12,False,38.822278,-91.137639,KASPAR BROADCASTING CO. OF MISSOURI
KYYA,730,Nighttime,Licensed,ILLINGS,MT,US,19216,0.236,False,45.758,-108.49875,"DESERT MOUNTAIN BROADCASTING LICENSES, LLC"
WFMC,730,Nighttime,Licensed,OLDSBORO,NC,US,70622,0.094,False,35.373778,-78.011111,"NEW AGE COMMUNICATIONS, INC"
WZGV,730,Nighttime,Licensed,CRAMERTON,NC,US,26179,0.165,False,35.266806,-80.901194,"2G MEDIA, INC."
WDOS,730,Nighttime,Licensed,ONEONTA,NY,US,68738,0.008,False,42.457861,-75.004889,"TOWNSQUARE LICENSE, LLC"
WJYM,730,Nighttime,Licensed,BOWLING GREEN,OH,US,31170,0.359,True,41.532556,-83.565222,"FAMILY WORSHIP CENTER CHURCH, INC."
WPIT,730,Nighttime,Licensed,PITTSBURGH,PA,US,58624,0.024,False,40.482833,-79.991722,SALEM COMMUNICATIONS HOLDING CORPORATION
WAZL,730,Nighttime,Licensed,ANTICOKE,PA,US,59757,0.012,False,41.219528,-75.99075,GEOS COMMUNICATIONS
WLTQ,730,Nighttime,Licensed,CHARLESTON,SC,US,73874,103.0,False,32.773444,-80.015472,"MEDIATRIX SC, INC."
WLIL,730,Nighttime,Licensed,ENOIR CITY,TN,US,73211,0.214,False,35.770083,-84.279639,FOWLERS HOLDINGS LLLP
KKDA,730,Nighttime,Licensed,RAND PRAIRIE,TX,US,59703,0.5,True,32.764306,-96.990833,"SKR PARTNERS, LLC"
KSVN,730,Nighttime,Licensed,GDEN,UT,US,57444,0.066,False,41.188,-112.081889,AZTECA BROADCASTING CORPORATION
WMNA,730,Nighttime,Licensed,RETNA,VA,US,65518,0.028,True,36.925417,-79.330306,"3 DAUGHTERS MEDIA, INC."
WTNT,730,Nighttime,Licensed,ALEXANDRIA,VA,US,70036,0.025,False,38.745389,-77.099139,"METRO RADIO, INC."
KULE,730,Nighttime,Licensed,PHRATA,WA,US,4041,0.029,False,47.316806,-119.563917,CENTRO FAMILIAR CRISTIANO
WJMT,730,Nighttime,Licensed,ERRILL,WI,US,57222,0.127,False,45.179139,-89.639,SUNRISE BROADCASTING LLC.
CHMJ,730,Nighttime,CP,ANCOUVER,BC,CA,98826,50.0,True,49.132333,-123.006306,-
NEW,730,Nighttime,CP,ERNON,BC,CA,98827,10.0,True,50.213778,-119.213667,-
CKDM,730,Nighttime,CP,AUPHIN,MB,CA,98828,5.0,True,51.152222,-100.229861,-
CJNR,730,Nighttime,CP,LIND RIVER,ON,CA,98829,1.0,True,46.176972,-82.984139,-
CHYR7,730,Nighttime,CP,EAMINGTON,ON,CA,98830,0.5,True,42.008361,-82.561,-
CHYR7,730,Nighttime,CP,EAMINGTON,ON,CA,98830,1.0,True,42.008361,-82.561,-
WIAC,740,Unlimited,Licensed,SAN JUAN,PR,US,4935,10.0,True,18.354694,-66.234353,"BESTOV BROADCASTING, INC."
NEW,740,Unlimited,CP,HITEHORSE,YT,CA,98837,0.8,False,60.699722,-135.001917,-
WMSP,740,Daytime,Licensed,ONTGOMERY,AL,US,12316,10.0,True,32.421806,-86.164139,CUMULUS LICENSING LLC
KIDR,740,Daytime,Licensed,HOENIX,AZ,US,6383,1.0,True,33.365333,-112.109028,"EN FAMILIA, INC."
KCBS,740,Daytime,Licensed,SAN FRANCISCO,CA,US,9637,50.0,True,38.139639,-122.53025,"AUDACY LICENSE, LLC"
KBRT,740,Daytime,Licensed,COSTA MESA,CA,US,34588,50.0,True,33.828917,-117.639222,"KIERTRON, INC."
KVOR,740,Daytime,Licensed,COLORADO SPRINGS,CO,US,35869,3.3,True,39.083889,-104.711917,"RADIO LICENSE HOLDING CBC, LLC"
KVFC,740,Daytime,Licensed,CORTEZ,CO,US,16434,1.0,False,37.349444,-108.542028,"HUTTON BROADCASTING, LLC"
WYGM,740,Daytime,Licensed,ORLANDO,FL,US,51982,50.0,True,28.481667,-81.66175,"IHM LICENSES, LLC"
KCIK,740,Daytime,Licensed,KIHEI,HI,US,161239,2.0,False,20.788556,-156.464167,"RELEVANT RADIO, INC."
KMZN,740,Daytime,Licensed,SKALOOSA,IA,US,31910,0.229,False,41.320833,-92.64575,JOMAST CORPORATION
WVLN,740,Daytime,Licensed,LNEY,IL,US,69633,0.25,False,38.700333,-88.081417,"V.L.N. BROADCASTING, INC."
WNOP,740,Daytime,Licensed,NEWPORT,KY,US,15881,2.5,True,39.094778,-84.583,"SACRED HEART RADIO, INC."
WPAQ,740,Daytime,Licensed,OUNT AIRY,NC,US,54971,10.0,False,36.534583,-80.596444,"WPAQ RADIO, INC."
KNFL,740,Daytime,Licensed,FARGO,ND,US,135847,50.0,True,46.974694,-96.503694,"MIDWEST COMMUNICATIONS, INC."
KATK,740,Daytime,Licensed,ARLSBAD,NM,US,54513,1.0,False,32.450667,-104.213556,"CARLSBAD RADIO, INC."
WNYH,740,Daytime,Licensed,HUNTINGTON,NY,US,29259,25.0,True,40.851222,-73.437333,WIN RADIO BROADCASTING CORPORATION
KRMG,740,Daytime,Licensed,TULSA,OK,US,48729,50.0,True,36.080639,-96.286111,ZOELLNER MEDIA GROUP LLC
WJFP,740,Daytime,Licensed,CHESTER,PA,US,74166,1.0,False,39.877333,-75.406306,"DISRUPTOR RADIO, LLC"
WHMT,740,Daytime,Licensed,TULLAHOMA,TN,US,49836,0.25,False,35.343417,-86.2,"COFFEE COUNTY BROADCASTING, INC."
WCXZ,740,Daytime,Licensed,ARROGATE,TN,US,52626,0.9,False,36.561194,-83.65575,LINCOLN MEMORIAL UNIVERSITY
KCMC,740,Daytime,Licensed,TEXARKANA,TX,US,33729,0.68,False,33.408444,-94.046583,BTC USA HOLDINGS MANAGEMENT INC.
KTRH,740,Daytime,Licensed,HOUSTON,TX,US,35674,50.0,True,29.966056,-94.942417,"IHM LICENSES, LLC"
WMBG,740,Daytime,Licensed,ILLIAMSBURG,VA,US,25021,0.5,False,37.281806,-76.796639,"WILLIAMSBURG'S RADIO STATION, INC."
WDGY,740,Daytime,Licensed,HUDSON,WI,US,6440,5.0,True,44.968028,-92.667139,"WRPX, INC."
WRPQ,740,Daytime,Licensed,ARABOO,WI,US,3712,0.25,False,43.45525,-89.753722,"CIVIC MEDIA, INC."
WRNR,740,Daytime,Licensed,ARTINSBURG,WV,US,60104,0.5,True,39.473722,-77.932222,"SHENANDOAH COMMUNICATIONS, INC."
CBX,740,Daytime,CP,DMONTON,AB,CA,98832,50.0,True,53.3195,-113.446278,-
NEW,740,Daytime,CP,SHCROFT,BC,CA,98833,10.0,False,50.716556,-121.167944,-
CHCM,740,Daytime,CP,ARYSTOWN,NF,CA,98835,10.0,False,47.144694,-55.271917,-
CHWO,740,Daytime,CP,ORONTO,ON,CA,136769,50.0,False,43.575056,-79.817306,-
WMSP,740,Nighttime,Licensed,ONTGOMERY,AL,US,12316,0.233,True,32.421806,-86.164139,CUMULUS LICENSING LLC
KIDR,740,Nighttime,Licensed,HOENIX,AZ,US,6383,0.292,True,33.365333,-112.109028,"EN FAMILIA, INC."
KBRT,740,Nighttime,Licensed,COSTA MESA,CA,US,34588,0.19,True,33.828917,-117.639222,"KIERTRON, INC."
KCBS,740,Nighttime,Licensed,SAN FRANCISCO,CA,US,9637,50.0,True,38.139639,-122.53025,"AUDACY LICENSE, LLC"
KVFC,740,Nighttime,Licensed,CORTEZ,CO,US,16434,0.25,True,37.349444,-108.542028,"HUTTON BROADCASTING, LLC"
KVOR,740,Nighttime,Licensed,COLORADO SPRINGS,CO,US,35869,1.5,True,39.083889,-104.711917,"RADIO LICENSE HOLDING CBC, LLC"
WYGM,740,Nighttime,Licensed,ORLANDO,FL,US,51982,50.0,True,28.481667,-81.66175,"IHM LICENSES, LLC"
KCIK,740,Nighttime,Licensed,KIHEI,HI,US,161239,2.0,False,20.788556,-156.464167,"RELEVANT RADIO, INC."
KMZN,740,Nighttime,Licensed,SKALOOSA,IA,US,31910,0.01,False,41.320833,-92.64575,JOMAST CORPORATION
WVLN,740,Nighttime,Licensed,LNEY,IL,US,69633,0.007,False,38.700333,-88.081417,"V.L.N. BROADCASTING, INC."
WNOP,740,Nighttime,Licensed,NEWPORT,KY,US,15881,0.03,True,39.094778,-84.583,"SACRED HEART RADIO, INC."
WPAQ,740,Nighttime,Licensed,OUNT AIRY,NC,US,54971,0.007,False,36.534583,-80.596444,"WPAQ RADIO, INC."
KNFL,740,Nighttime,Licensed,FARGO,ND,US,135847,0.94,True,46.974694,-96.503694,"MIDWEST COMMUNICATIONS, INC."
KATK,740,Nighttime,Licensed,ARLSBAD,NM,US,54513,0.5,False,32.450667,-104.213556,"CARLSBAD RADIO, INC."
WNYH,740,Nighttime,Licensed,HUNTINGTON,NY,US,29259,0.043,True,40.851222,-73.437333,WIN RADIO BROADCASTING CORPORATION
KRMG,740,Nighttime,Licensed,TULSA,OK,US,48729,25.0,True,36.080639,-96.286111,ZOELLNER MEDIA GROUP LLC
WJFP,740,Nighttime,Licensed,CHESTER,PA,US,74166,0.006,False,39.877333,-75.406306,"DISRUPTOR RADIO, LLC"
WHMT,740,Nighttime,Licensed,TULLAHOMA,TN,US,49836,0.011,False,35.343417,-86.2,"COFFEE COUNTY BROADCASTING, INC."
WCXZ,740,Nighttime,Licensed,ARROGATE,TN,US,52626,0.007,False,36.561194,-83.65575,LINCOLN MEMORIAL UNIVERSITY
KCMC,740,Nighttime,Licensed,TEXARKANA,TX,US,33729,0.068,False,33.408444,-94.046583,BTC USA HOLDINGS MANAGEMENT INC.
KTRH,740,Nighttime,Licensed,HOUSTON,TX,US,35674,50.0,True,29.966056,-94.942417,"IHM LICENSES, LLC"
WMBG,740,Nighttime,Licensed,ILLIAMSBURG,VA,US,25021,0.007,False,37.281806,-76.796639,"WILLIAMSBURG'S RADIO STATION, INC."
WRPQ,740,Nighttime,Licensed,ARABOO,WI,US,3712,0.006,False,43.45525,-89.753722,"CIVIC MEDIA, INC."
WRNR,740,Nighttime,Licensed,ARTINSBURG,WV,US,60104,0.021,True,39.473722,-77.932222,"SHENANDOAH COMMUNICATIONS, INC."
CBX,740,Nighttime,CP,DMONTON,AB,CA,98832,50.0,True,53.3195,-113.446278,-
NEW,740,Nighttime,CP,SHCROFT,BC,CA,98833,2.5,True,50.716556,-121.167944,-
CHCM,740,Nighttime,CP,ARYSTOWN,NF,CA,98835,10.0,True,47.144694,-55.271917,-
NEW,740,Nighttime,CP,OOSE BAY,NF,CA,98834,1.0,True,53.26675,-60.465778,-
NEW,740,Nighttime,CP,ARYSTOWN,NL,CA,792529,10.0,True,47.144722,-55.271667,-
CHWO,740,Nighttime,CP,ORONTO,ON,CA,136769,50.0,False,43.575056,-79.817306,-
WPAQ,740,Unknown,Licensed,OUNT AIRY,NC,US,54971,1.0,False,36.534583,-80.596444,"WPAQ RADIO, INC."
KNFL,740,Unknown,Licensed,FARGO,ND,US,135847,7.5,True,46.974694,-96.503694,"MIDWEST COMMUNICATIONS, INC."
WSB,750,Unlimited,Licensed,TLANTA,GA,US,73977,50.0,False,33.844,-84.25325,"COX RADIO, LLC"
KMMJ,750,Unlimited,Licensed,GRAND ISLAND,NE,US,9937,10.5,True,41.134722,-97.994222,MYBRIDGE
KFQD,750,Daytime,Licensed,ANCHORAGE,AK,US,52675,50.0,False,61.337778,-150.036389,ALPHA MEDIA LICENSEE LLC
WRIK,750,Daytime,Licensed,BROOKPORT,IL,US,63816,0.5,False,37.142,-88.6495,DANIEL STRATEMEYER
WNDZ,750,Daytime,Licensed,ORTAGE,IN,US,73316,15.0,True,41.563639,-87.155028,WNDZ LLC
KKNO,750,Daytime,Licensed,GRETNA,LA,US,56784,0.25,False,29.887694,-90.08425,"EQUITY MEDIA, LLC"
WBMD,750,Daytime,Licensed,BALTIMORE,MD,US,1913,0.8,False,39.311778,-76.491083,"RELEVANT RADIO, INC."
WJTO,750,Daytime,Licensed,BATH,ME,US,33287,1.0,False,43.876389,-69.846944,"BLUE JEY BROADCASTING COMPANY, INC"
KBNN,750,Daytime,Licensed,LEBANON,MO,US,51093,5.0,False,37.686417,-92.693222,ALPHA MEDIA LICENSEE LLC
KERR,750,Daytime,Licensed,OLSON,MT,US,2208,50.0,False,47.642722,-114.124556,"ANDERSON RADIO BROADCASTING, INC."
WAUG,750,Daytime,Licensed,EW HOPE,NC,US,58586,0.5,False,35.79125,-78.619167,SAINT AUGUSTINE'S UNIVERSITY
KSEO,750,Daytime,Licensed,URANT,OK,US,17755,0.22,False,34.03675,-96.427222,"MID-CONTINENTAL BROADCASTING, LLC"
KXTG,750,Daytime,Licensed,PORTLAND,OR,US,948,50.0,True,45.401222,-122.447583,ALPHA MEDIA LICENSEE LLC
WGMF,750,Daytime,Licensed,OLYPHANT,PA,US,8092,1.6,False,41.476194,-75.494361,"GEOS COMMUNICATIONS, LLC"
KAMA,750,Daytime,Licensed,EL PASO,TX,US,36948,10.0,True,31.775111,-106.280528,"97.5 LICENSEE TX, LLC"
KOAL,750,Daytime,Licensed,PRICE,UT,US,18389,10.0,False,39.566917,-110.801278,EASTERN UTAH BROADCASTING COMPANY
750WIN,750,Daytime,CP,INNIPEG,MB,CA,161622,5.0,True,49.75,-97.250306,-
CBGY,750,Daytime,CP,ONAVISTA BAY,NF,CA,98838,10.0,True,48.674111,-53.772111,-
CKGB,750,Daytime,CP,IMMINS,ON,CA,98839,10.0,True,48.454167,-81.359667,-
NEW,750,Daytime,CP,IMOUSKI,QC,CA,98840,10.0,False,48.400028,-68.632833,-
CJWW,750,Daytime,CP,ASKATOON,SK,CA,98842,10.0,True,52.083361,-106.41725,-
CJVR,750,Daytime,CP,ELFORT,SK,CA,98841,25.0,True,52.6125,-104.504667,-
CJVR,750,Daytime,CP,ELFORT,SK,CA,98841,10.0,False,52.6125,-104.504667,-
KFQD,750,Nighttime,Licensed,ANCHORAGE,AK,US,52675,50.0,False,61.337778,-150.036389,ALPHA MEDIA LICENSEE LLC
WJTO,750,Nighttime,Licensed,BATH,ME,US,33287,23.0,False,43.876389,-69.846944,"BLUE JEY BROADCASTING COMPANY, INC"
KERR,750,Nighttime,Licensed,OLSON,MT,US,2208,1.0,True,47.642722,-114.124556,"ANDERSON RADIO BROADCASTING, INC."
KXTG,750,Nighttime,Licensed,PORTLAND,OR,US,948,20.0,True,45.401222,-122.447583,ALPHA MEDIA LICENSEE LLC
KAMA,750,Nighttime,Licensed,EL PASO,TX,US,36948,1.0,True,31.775111,-106.280528,"97.5 LICENSEE TX, LLC"
KOAL,750,Nighttime,Licensed,PRICE,UT,US,18389,6.8,True,39.566917,-110.801278,EASTERN UTAH BROADCASTING COMPANY
750WIN,750,Nighttime,CP,INNIPEG,MB,CA,161622,2.5,True,49.75,-97.250306,-
CBGY,750,Nighttime,CP,ONAVISTA BAY,NF,CA,98838,10.0,True,48.674111,-53.772111,-
CKGB,750,Nighttime,CP,IMMINS,ON,CA,98839,5.0,True,48.454167,-81.359667,-
NEW,750,Nighttime,CP,IMOUSKI,QC,CA,98840,5.0,True,48.400028,-68.632833,-
CJWW,750,Nighttime,CP,ASKATOON,SK,CA,98842,10.0,True,52.073667,-106.810611,-
NEW,750,Nighttime,CP,ASKATOON,SK,CA,106852,10.0,True,52.083361,-106.41725,-
CJVR,750,Nighttime,CP,ELFORT,SK,CA,98841,25.0,True,52.6125,-104.504667,-
CJVR,750,Nighttime,CP,ELFORT,SK,CA,98841,10.0,True,52.6125,-104.504667,-
KGU,760,Unlimited,Licensed,HONOLULU,HI,US,53705,10.0,False,21.294722,-157.863611,"MALAMA MEDIA GROUP, LLC"
WJR,760,Unlimited,Licensed,DETROIT,MI,US,8626,50.0,False,42.168083,-83.214917,RADIO LICENSE HOLDINGS LLC
WORA,760,Unlimited,Licensed,MAYAGUEZ,PR,US,54480,5.0,True,18.189703,-67.157417,ARSO RADIO CORPORATION
WURL,760,Daytime,Licensed,MOODY,AL,US,65459,1.0,False,33.587056,-86.471639,DONALD JENNINGS EVANGELISTIC
KMTL,760,Daytime,Licensed,SHERWOOD,AR,US,23871,10.0,False,34.826194,-92.205417,"RADIO LA RAZA, LLC"
KTBA,760,Daytime,Licensed,TUBA CITY,AZ,US,71794,0.25,False,36.131667,-111.250417,ACROSS NATIONS
KGB,760,Daytime,Licensed,SAN DIEGO,CA,US,42120,5.0,False,32.842556,-117.025861,"IHM LICENSES, LLC"
KEJY,760,Daytime,Licensed,EUREKA,CA,US,19840,5.0,False,40.800417,-124.128667,"EUREKA BROADCASTING CO., INC."
KDFD,760,Daytime,Licensed,THORNTON,CO,US,29740,50.0,True,40.009139,-104.939694,"IHM LICENSES, LLC"
WEFL,760,Daytime,Licensed,EQUESTA,FL,US,35148,3.0,True,26.995611,-80.192556,"GOOD KARMA BROADCASTING, LLC"
WLCC,760,Daytime,Licensed,BRANDON,FL,US,71212,10.0,True,28.025028,-82.283694,SALEM COMMUNICATIONS HOLDING CORPORATION
KCCV,760,Daytime,Licensed,VERLAND PARK,KS,US,6491,6.0,True,39.040556,-94.509667,BOTT BROADCASTING COMPANY
WVNE,760,Daytime,Licensed,EICESTER,MA,US,5890,25.0,False,42.24925,-72.077583,"BLOUNT MASSCOM, INC."
WCIS,760,Daytime,Licensed,ORGANTON,NC,US,70623,3.5,False,35.794583,-81.719833,W.F.M. INCORPORATED
WCPS,760,Daytime,Licensed,TARBORO,NC,US,14004,1.0,False,35.929056,-77.569972,"TREY AND ASSOCIATES, LLC"
WCHP,760,Daytime,Licensed,HAMPLAIN,NY,US,10130,35.0,True,44.945583,-73.429583,"CHAMPLAIN RADIO, INC."
WETR,760,Daytime,Licensed,NOXVILLE,TN,US,65205,2.4,False,35.988417,-83.842972,THOMAS MOFFIT JR. MOFFIT
WENO,760,Daytime,Licensed,NASHVILLE,TN,US,71507,1.0,False,36.141167,-86.756389,DISRUPTOR RADIO LLC
KTKR,760,Daytime,Licensed,SAN ANTONIO,TX,US,11945,50.0,True,29.449667,-98.309444,"IHM LICENSES, LLC"
