call_sign,frequency_khz,hours,status,city,state,country,facility_id,power_kw,directional,latitude,longitude,licensee
WETC,540,Nighttime,Licensed,WENDELL-ZEBULON,NC,US,18269,4.4,True,35.869306,-78.431944,"DIVINE MERCY RADIO, INC."
WRGC,540,Nighttime,Licensed,SYLVA,NC,US,73286,0.19,False,35.392056,-83.24875,"FIVE FORTY BROADCASTING COMPANY, LLC"
KNMX,540,Nighttime,Licensed,AS VEGAS,NM,US,58915,0.02,True,35.573667,-105.171944,"SANGRE DE CRISTO BROADCASTING CO., INC."
WBWD,540,Nighttime,Licensed,ISLIP,NY,US,37805,0.22,True,40.751778,-73.213444,"OM SAI BROADCASTING, LLC"
WWCS,540,Nighttime,Licensed,CANONSBURG,PA,US,5349,0.5,True,40.2895,-80.185056,BIRACH BROADCASTING CORPORATION
WYNN,540,Nighttime,Licensed,LORENCE,SC,US,22048,0.166,False,34.218222,-79.808111,CUMULUS LICENSING LLC
WKFN,540,Nighttime,Licensed,CLARKSVILLE,TN,US,65202,0.055,False,36.542,-87.325556,"SAGA COMMUNICATIONS OF TUCKESSEE, LLC"
KDFT,540,Nighttime,Licensed,ERRIS,TX,US,145,0.249,True,32.514583,-96.574167,"WAY BROADCASTING LICENSEE, LLC"
WGTH,540,Nighttime,Licensed,ICHLANDS,VA,US,12043,0.097,False,37.083722,-81.782611,"HIGH KNOB BROADCASTERS, INC."
WAUK,540,Nighttime,Licensed,ACKSON,WI,US,10824,0.4,True,43.333333,-88.153139,"CIVIC MEDIA, INC."
CKBO,540,Nighttime,CP,OAL HARBOUR,BC,CA,792291,0.04,False,50.614167,-127.569722,-
NEW,540,Nighttime,CP,ANCOUVER,BC,CA,106055,10.0,True,49.255389,-122.634611,-
CBT,540,Nighttime,CP,RAND FALLS,NF,CA,106056,10.0,False,48.95,-55.626389,-
CJSB,540,Nighttime,CP,TTAWA,ON,CA,106058,12.5,True,45.189222,-75.779139,-
CBEF,540,Nighttime,CP,INDSOR,ON,CA,106059,5.0,True,42.14725,-83.092417,-
CHIC,540,Nighttime,CP,HICOUTIMI,QC,CA,106060,10.0,True,48.366667,-71.082917,-
CBGA-1,540,Nighttime,CP,EW CARLISLE,QC,CA,106061,10.0,True,47.813917,-65.146639,-
KTZN,550,Daytime,Licensed,NCHORAGE,AK,US,12967,5.0,False,61.165556,-149.828306,"IHM LICENSES, LLC"
KFYI,550,Daytime,Licensed,PHOENIX,AZ,US,63918,5.0,False,33.388111,-112.006806,"IHM LICENSES, LLC"
KUZZ,550,Daytime,Licensed,AKERSFIELD,CA,US,7695,5.0,True,35.34025,-118.939556,"BUCK OWENS PRODUCTION COMPANY, INCORPORATED"
KLLV,550,Daytime,Licensed,REEN,CO,US,15879,1.8,False,37.183889,-108.082306,"DAYSTAR RADIO, LTD."
KRAI,550,Daytime,Licensed,RAIG,CO,US,72436,5.0,False,40.545806,-107.531722,"BLIZZARD BROADCASTING, LLC"
WAYR,550,Daytime,Licensed,FLEMING ISLAND,FL,US,24625,5.0,True,30.07275,-81.789806,GOOD TIDINGS TRUST INC.
WDUN,550,Daytime,Licensed,GAINESVILLE,GA,US,32976,10.0,False,34.335667,-83.792111,JACOBS MEDIA CORPORATION
KNUI,550,Daytime,Licensed,WAILUKU,HI,US,49956,1.0,False,20.788556,-156.464167,"PACIFIC RADIO GROUP, INC."
KFRM,550,Daytime,Licensed,ALINA,KS,US,25808,5.0,True,39.434444,-97.660583,"TAYLOR COMMUNICATIONS, INC."
KTRS,550,Daytime,Licensed,T. LOUIS,MO,US,20359,5.0,False,38.662556,-90.128722,"KTRS-AM LICENSE, L.L.C."
KBOW,550,Daytime,Licensed,UTTE,MT,US,7911,5.0,False,45.970194,-112.581417,BUTTE BROADCASTING INCORPORATED
WAME,550,Daytime,Licensed,STATESVILLE,NC,US,63146,0.5,False,35.793472,-80.853972,STATESVILLE FAMILY RADIO CORPORATION
WIOZ,550,Daytime,Licensed,INEHURST,NC,US,46949,1.0,True,35.151278,-79.477528,"MUIRFIELD BROADCASTING, INC."
KFYR,550,Daytime,Licensed,BISMARCK,ND,US,41426,5.0,False,46.853333,-100.544,"IHM LICENSES, LLC"
WGR,550,Daytime,Licensed,BUFFALO,NY,US,56101,5.0,False,42.769778,-78.843361,"AUDACY LICENSE, LLC"
WKRC,550,Daytime,Licensed,CINCINNATI,OH,US,29737,5.0,True,39.008111,-84.444111,"IHM LICENSES, LLC"
KOAC,550,Daytime,Licensed,CORVALLIS,OR,US,50587,5.0,True,44.634806,-123.194944,OREGON PUBLIC BROADCASTING
WPAB,550,Daytime,Licensed,PONCE,PR,US,53077,5.0,False,17.988878,-66.629636,"WPAB, INC."
WSJW,550,Daytime,Licensed,PAWTUCKET,RI,US,67578,1.0,False,41.905667,-71.398389,"RELEVANT RADIO, INC."
KTSA,550,Daytime,Licensed,SAN ANTONIO,TX,US,71087,5.0,False,29.494944,-98.41475,ALPHA MEDIA LICENSEE LLC
KCRS,550,Daytime,Licensed,IDLAND,TX,US,42015,5.0,True,32.069556,-102.029861,"ICA RADIO, LTD."
WSVA,550,Daytime,Licensed,HARRISONBURG,VA,US,39493,5.0,False,38.451222,-78.907806,"TIDEWATER COMMUNICATIONS, LLC"
WDEV,550,Daytime,Licensed,WATERBURY,VT,US,54866,5.0,True,44.354778,-72.7515,WDEV LLC
KARI,550,Daytime,Licensed,LAINE,WA,US,5351,5.0,True,48.954,-122.744611,"WAY BROADCASTING LICENSEE, LLC"
WSAU,550,Daytime,Licensed,AUSAU,WI,US,41902,15.0,True,44.857194,-89.587056,"WRIG, INC."
CJOK,550,Daytime,CP,ORT MCMURRAY,AB,CA,106063,10.0,True,56.687889,-111.332833,-
CKPG,550,Daytime,CP,RINCE GEORGE,BC,CA,106065,10.0,False,53.929111,-122.605667,-
CFJC,550,Daytime,CP,AMLOOPS,BC,CA,106064,25.0,True,50.642667,-120.459,-
CFNB,550,Daytime,CP,REDERICTON,NB,CA,106066,50.0,True,45.801167,-66.911361,-
CHNO,550,Daytime,CP,UDBURY,ON,CA,106067,50.0,True,46.436139,-80.974889,-
CHLN,550,Daytime,CP,ROIS RIVIERES,QC,CA,106068,10.0,True,46.239194,-72.590139,-
C550,550,Daytime,CP,ROIS-REIVIERES,QC,CA,189783,10.0,True,46.239194,-72.589583,-
KTZN,550,Nighttime,Licensed,NCHORAGE,AK,US,12967,5.0,False,61.165556,-149.828306,"IHM LICENSES, LLC"
KFYI,550,Nighttime,Licensed,PHOENIX,AZ,US,63918,1.0,False,33.388111,-112.006806,"IHM LICENSES, LLC"
KUZZ,550,Nighttime,Licensed,AKERSFIELD,CA,US,7695,5.0,True,35.34025,-118.939556,"BUCK OWENS PRODUCTION COMPANY, INCORPORATED"
KRAI,550,Nighttime,Licensed,RAIG,CO,US,72436,0.5,True,40.545806,-107.531722,"BLIZZARD BROADCASTING, LLC"
WAYR,550,Nighttime,Licensed,FLEMING ISLAND,FL,US,24625,0.5,True,30.07275,-81.789806,GOOD TIDINGS TRUST INC.
WDUN,550,Nighttime,Licensed,GAINESVILLE,GA,US,32976,2.5,True,34.335667,-83.792111,JACOBS MEDIA CORPORATION
KNUI,550,Nighttime,Licensed,WAILUKU,HI,US,49956,1.0,False,20.788556,-156.464167,"PACIFIC RADIO GROUP, INC."
KFRM,550,Nighttime,Licensed,ALINA,KS,US,25808,0.11,True,39.434444,-97.660583,"TAYLOR COMMUNICATIONS, INC."
KTRS,550,Nighttime,Licensed,T. LOUIS,MO,US,20359,5.0,True,38.662556,-90.128722,"KTRS-AM LICENSE, L.L.C."
KBOW,550,Nighttime,Licensed,UTTE,MT,US,7911,1.0,True,45.970194,-112.581417,BUTTE BROADCASTING INCORPORATED
WAME,550,Nighttime,Licensed,STATESVILLE,NC,US,63146,0.053,False,35.793472,-80.853972,STATESVILLE FAMILY RADIO CORPORATION
WIOZ,550,Nighttime,Licensed,INEHURST,NC,US,46949,0.26,True,35.151278,-79.477528,"MUIRFIELD BROADCASTING, INC."
KFYR,550,Nighttime,Licensed,BISMARCK,ND,US,41426,5.0,True,46.853333,-100.544,"IHM LICENSES, LLC"
WGR,550,Nighttime,Licensed,BUFFALO,NY,US,56101,5.0,True,42.769778,-78.843361,"AUDACY LICENSE, LLC"
WKRC,550,Nighttime,Licensed,CINCINNATI,OH,US,29737,1.0,True,39.008111,-84.444111,"IHM LICENSES, LLC"
KOAC,550,Nighttime,Licensed,CORVALLIS,OR,US,50587,5.0,True,44.634806,-123.194944,OREGON PUBLIC BROADCASTING
WPAB,550,Nighttime,Licensed,PONCE,PR,US,53077,5.0,False,17.988878,-66.629636,"WPAB, INC."
WSJW,550,Nighttime,Licensed,PAWTUCKET,RI,US,67578,0.5,True,41.905111,-71.398944,"RELEVANT RADIO, INC."
KTSA,550,Nighttime,Licensed,SAN ANTONIO,TX,US,71087,5.0,True,29.496333,-98.415306,ALPHA MEDIA LICENSEE LLC
KCRS,550,Nighttime,Licensed,IDLAND,TX,US,42015,1.0,True,32.069556,-102.029861,"ICA RADIO, LTD."
WSVA,550,Nighttime,Licensed,HARRISONBURG,VA,US,39493,1.0,True,38.451222,-78.907806,"TIDEWATER COMMUNICATIONS, LLC"
WDEV,550,Nighttime,Licensed,WATERBURY,VT,US,54866,1.0,True,44.354778,-72.7515,WDEV LLC
KARI,550,Nighttime,Licensed,LAINE,WA,US,5351,2.5,True,48.954,-122.744611,"WAY BROADCASTING LICENSEE, LLC"
WSAU,550,Nighttime,Licensed,AUSAU,WI,US,41902,20.0,True,44.857194,-89.587056,"WRIG, INC."
CJOK,550,Nighttime,CP,ORT MCMURRAY,AB,CA,106063,5.0,True,56.687889,-111.332833,-
CKPG,550,Nighttime,CP,RINCE GEORGE,BC,CA,106065,10.0,True,53.929111,-122.605667,-
CFJC,550,Nighttime,CP,AMLOOPS,BC,CA,106064,5.0,True,50.642667,-120.459,-
CFNB,550,Nighttime,CP,REDERICTON,NB,CA,106066,50.0,True,45.801167,-66.911361,-
CHNO,550,Nighttime,CP,UDBURY,ON,CA,106067,10.0,True,46.436139,-80.974889,-
CHLN,550,Nighttime,CP,ROIS RIVIERES,QC,CA,106068,5.0,True,46.239194,-72.590139,-
C550,550,Nighttime,CP,ROIS-REIVIERES,QC,CA,189783,5.0,True,46.239194,-72.589583,-
KLZ,560,Unlimited,Licensed,DENVER,CO,US,35088,5.0,True,39.843306,-104.954417,"KLZ RADIO, INC."
CHVO,560,Unlimited,CP,UNKNOWN,NF,CA,106071,5.0,True,47.659972,-53.252889,-
CBDN,560,Unlimited,CP,AWSON,YT,CA,163405,0.4,False,64.055861,-139.413333,-
WOOF,560,Daytime,Licensed,OTHAN,AL,US,73675,5.0,False,31.218222,-85.352722,"WOOF, INC."
KBLU,560,Daytime,Licensed,UMA,AZ,US,62233,1.0,False,32.723389,-114.643556,EDB VV LICENSE LLC
KZAC,560,Daytime,Licensed,SAN FRANCISCO,CA,US,34472,5.0,False,37.745472,-122.378861,RADIO LICENSE HOLDINGS LLC
WQAM,560,Daytime,Licensed,MIAMI,FL,US,64002,4.1,False,25.839806,-80.1895,"AUDACY LICENSE, LLC"
WIND,560,Daytime,Licensed,CHICAGO,IL,US,67068,5.0,True,41.565028,-87.41975,"SALEM MEDIA OF ILLINOIS, LLC"
WMIK,560,Daytime,Licensed,MIDDLESBORO,KY,US,23335,2.5,False,36.627306,-83.714361,"GATEWAY BROADCASTING, INC."
WHYN,560,Daytime,Licensed,SPRINGFIELD,MA,US,55757,5.0,True,42.193694,-72.683417,"IHM LICENSES, LLC"
WFRB,560,Daytime,Licensed,FROSTBURG,MD,US,71868,5.0,False,39.683528,-78.965028,"FM RADIO LICENSES, LLC"
WGAN,560,Daytime,Licensed,PORTLAND,ME,US,58544,5.0,True,43.690083,-70.317556,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC"
WRDT,560,Daytime,Application,MONROE,MI,US,25083,5.0,True,41.891167,-83.427444,"WMUZ RADIO, INC."
WRDT,560,Daytime,Licensed,MONROE,MI,US,25083,0.5,True,41.891167,-83.427444,"WMUZ RADIO, INC."
WEBC,560,Daytime,Licensed,ULUTH,MN,US,49689,5.0,True,46.643556,-91.986028,"TOWNSQUARE LICENSE, LLC"
KWTO,560,Daytime,Licensed,PRINGFIELD,MO,US,35900,5.0,True,36.9445,-93.221583,"ZIMMER MIDWEST COMMUNICATIONS, INC."
KMON,560,Daytime,Licensed,REAT FALLS,MT,US,62330,5.0,False,47.424667,-111.289694,TOWNSQUARE LICENSE LLC
WGAI,560,Daytime,Licensed,LIZABETH CITY,NC,US,72731,1.0,True,36.337944,-76.246611,"GREGORY COMMUNICATIONS LICENSE, INC."
WFIL,560,Daytime,Licensed,PHILADELPHIA,PA,US,52193,5.0,True,40.095111,-75.276833,SALEM COMMUNICATIONS HOLDING CORPORATION
WVOC,560,Daytime,Licensed,COLUMBIA,SC,US,11902,5.0,False,34.032083,-81.14175,"IHM LICENSES, LLC"
WHBQ,560,Daytime,Licensed,EMPHIS,TN,US,21727,5.0,True,35.253417,-90.047583,FLINN BROADCASTING CORPORATION
WNSR,560,Daytime,Licensed,BRENTWOOD,TN,US,41062,1.0,False,36.141167,-86.756389,"SOUTHERN WABASH COMMUNICATIONS OF MIDDLE TENNESSEE, INC."
KLVI,560,Daytime,Licensed,BEAUMONT,TX,US,25580,5.0,False,30.0455,-93.871,"IHM LICENSES, LLC"
KPQ,560,Daytime,Licensed,ENATCHEE,WA,US,71715,5.0,False,47.453194,-120.329806,"TOWNSQUARE LICENSE, LLC"
WJLS,560,Daytime,Licensed,BECKLEY,WV,US,52335,4.5,False,37.759,-81.1865,WEST VIRGINIA RADIO CORPORATION
CKNL,560,Daytime,CP,ORT ST. JOHN,BC,CA,106069,1.0,False,56.233278,-120.893694,-
CHTK,560,Daytime,CP,RINCE RUPERT,BC,CA,106070,1.0,False,54.298361,-130.387833,-
C560,560,Daytime,CP,UNKNOWN,NF,CA,189784,5.0,True,47.659972,-53.251778,-
CJKL,560,Daytime,CP,IRKLAND LAKE,ON,CA,106072,5.0,False,48.071667,-80.027139,-
CFOS,560,Daytime,CP,WEN SOUND,ON,CA,106073,5.0,True,44.544472,-80.902083,-
CFOS,560,Daytime,CP,WEN SOUND,ON,CA,106073,7.5,True,44.544472,-80.902083,-
CKCN,560,Daytime,CP,EPT-ILES,QC,CA,106074,10.0,True,50.205056,-66.567194,-
